,intercept,game,price,year,rank,geek_rtg,avg_rtg,std_dev,num_voters,players,minutes,age,weight,page_views,thematic,strategic,them*strat,all_plays,this_month
1288,1,Northern Pacific,21.99,2013,2711,5.957,7.05,1.37,674,6.0,60.0,7.0,1.5,67071.0,0.0,1.0,0.0,2858.0,33.0
1289,1,7 Ronin,39.95,2013,2713,5.957,6.96,1.25,783,2.0,30.0,14.0,2.21,138897.0,0.0,1.0,0.0,1869.0,0.0
1290,1,Pendulum,60.0,2020,2715,5.957,6.7,1.83,1122,5.0,90.0,12.0,2.9,250613.0,0.0,1.0,0.0,2681.0,60.0
1291,1,Foothills,24.95,2019,2719,5.956,7.14,1.31,635,2.0,45.0,10.0,2.77,89761.0,0.0,0.0,0.0,1597.0,12.0
1292,1,The Binding of Isaac: Four Souls,42.89,2018,2721,5.955,7.19,2.0,1639,4.0,60.0,13.0,2.32,188192.0,1.0,1.0,1.0,2922.0,17.0
1293,1,Comuni,44.0,2008,2722,5.955,6.69,1.28,1040,5.0,90.0,12.0,3.31,108639.0,0.0,1.0,0.0,1399.0,0.0
1294,1,Lignum,49.95,2015,2724,5.955,7.27,1.29,568,4.0,120.0,12.0,3.77,169241.0,0.0,1.0,0.0,1349.0,3.0
1295,1,Hail Hydra,18.49,2018,2725,5.954,6.61,1.46,1251,8.0,75.0,14.0,1.87,164180.0,0.0,0.0,0.0,2766.0,26.0
1296,1,1835,174.99,1990,2727,5.954,7.06,1.5,708,7.0,360.0,16.0,3.99,101666.0,0.0,1.0,0.0,1027.0,0.0
1297,1,Royal Visit,24.99,2006,2728,5.954,6.5,1.45,1438,2.0,30.0,12.0,1.67,148440.0,0.0,1.0,0.0,7614.0,236.0
1298,1,Colonia,76.46,2009,2729,5.953,6.61,1.47,1176,6.0,120.0,12.0,3.12,177395.0,0.0,1.0,0.0,1788.0,1.0
1299,1,"Sun, Sea & Sand",55.0,2010,2735,5.953,6.92,1.14,748,5.0,60.0,10.0,2.61,91603.0,0.0,1.0,0.0,1938.0,4.0
1300,1,Deadwood,75.59,2011,2736,5.952,6.37,1.3,1864,5.0,60.0,13.0,2.17,245169.0,0.0,0.0,0.0,3059.0,4.0
1301,1,BioShock Infinite: The Siege of Columbia,39.99,2013,2739,5.952,6.72,1.4,1082,4.0,90.0,13.0,2.9,299921.0,1.0,0.0,0.0,1212.0,2.0
1302,1,Arcane Academy,39.99,2016,2740,5.952,6.78,1.27,964,4.0,45.0,12.0,2.22,115708.0,0.0,0.0,0.0,2247.0,8.0
1303,1,Deckscape: Behind the Curtain,13.91,2019,2744,5.951,6.99,1.45,707,6.0,90.0,12.0,2.0,20555.0,0.0,0.0,0.0,931.0,18.0
1304,1,Railroad Ink Challenge: Shining Yellow Edition,19.99,2021,2746,5.95,7.9,1.23,396,4.0,30.0,8.0,1.83,29066.0,0.0,0.0,0.0,2125.0,145.0
1305,1,Dragon's Breath,19.99,2017,2747,5.95,6.66,1.27,1071,4.0,20.0,5.0,1.06,69487.0,0.0,0.0,0.0,7848.0,89.0
1306,1,Qwirkle Cubes,25.95,2009,2750,5.949,6.56,1.34,1255,4.0,45.0,6.0,1.61,98683.0,0.0,0.0,0.0,4527.0,37.0
1307,1,Buffy the Vampire Slayer: The Board Game,20.64,2016,2758,5.948,6.87,1.46,1025,6.0,60.0,13.0,2.71,202226.0,0.0,0.0,0.0,1977.0,15.0
1308,1,Neuland,149.99,2004,2763,5.947,6.47,1.53,1406,4.0,120.0,14.0,3.7,199544.0,0.0,1.0,0.0,2047.0,0.0
